id|name|year|rating|runtime|genre|earnings_rank
2488496|Star Wars: The Force Awakens|2015|PG-13|138|A|1
4154796|Avengers: Endgame|2019|PG-13|181|AVS|2
0499549|Avatar|2009|PG-13|162|AVYS|3
1825683|Black Panther|2018|PG-13|134|AVS|4
4154756|Avengers: Infinity War|2018|PG-13|149|AVYS|5
0120338|Titanic|1997|PG-13|194|DR|6
0369610|Jurassic World|2015|PG-13|124|A|7
0848228|The Avengers|2012|PG-13|143|A|8
2527336|Star Wars: Episode VIII - The Last Jedi|2017|PG-13|152|AVYS|9
3606756|Incredibles 2|2018|PG|118|NAVCFS|10
0468569|The Dark Knight|2008|PG-13|152|AT|11
6105098|The Lion King|2019|PG|118|NVDFL|12
3748528|Rogue One: A Star Wars Story|2016|PG-13|133|A|13
2771200|Beauty and the Beast|2017|PG|129|F|14
2277860|Finding Dory|2016|PG|97|N|15
0120915|Star Wars: Episode I - The Phantom Menace|1999|PG|133|AVS|16
0076759|Star Wars|1977|PG|121|AVYS|17
2395427|Avengers: Age of Ultron|2015|PG-13|195|A|18
1345836|The Dark Knight Rises|2012|PG-13|165|A|19
0298148|Shrek 2|2004|PG|92|VNCFY|20
0083866|E.T. the Extra-Terrestrial|1982|PG|115|VFYS|21
1979376|Toy Story 4|2019|G|100|NVCFY|22
4154664|Captain Marvel|2019|PG-13|123|AVS|23
1951264|The Hunger Games: Catching Fire|2013|PG-13|146|V|24
0383574|Pirates of the Caribbean: Dead Man's Chest|2006|PG-13|150|AVCY|25
0110357|Lion King, The|1994|G|89|VNCFL|26
4881806|Jurassic World: Fallen Kingdom|2018|PG-13|128|AVS|27
0435761|Toy Story 3|2010|G|103|VNCFY|28
0451279|Wonder Woman|2017|PG-13|141|A|29
1300854|Iron Man 3|2013|PG-13|130|A|30
3498820|Captain America: Civil War|2016|PG-13|147|A|31
1392170|The Hunger Games|2012|PG-13|142|A|32
2283362|Jumanji: Welcome to the Jungle|2017|PG-13|119|AVCY|33
0145487|Spider-Man|2002|PG-13|121|AYST|34
0107290|Jurassic Park|1993|PG-13|127|AVHS|35
1055369|Transformers: Revenge of the Fallen|2009|PG-13|150|AVS|36
2294629|Frozen|2013|PG|102|N|37
3896198|Guardians of the Galaxy Vol. 2|2017|PG-13|136|A|38
6320628|Spider-Man: Far from Home|2019|PG-13|129|AVS|39
1201607|Harry Potter and the Deathly Hallows: Part 2|2011|PG-13|130|VDYM|40
0266543|Finding Nemo|2003|G|100|VNCF|41
0121766|Star Wars: Episode III - Revenge of the Sith|2005|PG-13|140|AVYS|42
0167260|Lord of the Rings: The Return of the King, The|2003|PG-13|201|AVY|43
0316654|Spider-Man 2|2004|PG-13|127|AYST|44
0335345|Passion of the Christ, The|2004|R|127|D|45
2709768|The Secret Life of Pets|2016|PG|87|N|46
1690953|Despicable Me 2|2013|PG|98|N|47
3040964|The Jungle Book|2016|PG|106|V|48
1431045|Deadpool|2016|R|108|A|49
2096673|Inside Out|2015|PG|94|N|50
6139732|Aladdin|2019|PG|128|VFYLR|51
2820852|Furious 7|2015|PG-13|140|A|52
1399103|Transformers: Dark of the Moon|2011|PG-13|157|AVS|53
2179136|American Sniper|2015|R|133|A|54
0167261|Lord of the Rings: The Two Towers, The|2002|PG-13|179|AVY|55
2948356|Zootopia|2016|PG|108|N|56
1951265|The Hunger Games: Mockingjay - Part 1|2014|PG-13|123|V|57
0413300|Spider-Man 3|2007|PG-13|140|AVST|58
2293640|Minions|2015|PG|91|N|59
1477834|Aquaman|2018|PG-13|143|AVYS|60
2250912|Spider-Man: Homecoming|2017|PG-13|133|A|61
1014759|Alice in Wonderland|2010|PG|108|VFY|62
2015381|Guardians of the Galaxy|2014|PG-13|121|A|63
0109830|Forrest Gump|1994|PG-13|142|CD|64
2975590|Batman v Superman: Dawn of Justice|2016|PG-13|183|A|65
1396484|It|2017|R|135|D|66
1386697|Suicide Squad|2016|PG-13|123|A|67
5463162|Deadpool 2|2018|R|119|AVCS|68
0413267|Shrek the Third|2007|PG|92|NVCFY|69
0418279|Transformers|2007|PG-13|144|AVCST|70
0371746|Iron Man|2008|PG-13|126|AVDST|71
0241527|Harry Potter and the Sorcerer's Stone|2001|PG|152|VFY|72
0367882|Indiana Jones and the Kingdom of the Crystal Skull|2008|PG-13|122|AV|73
0120737|Lord of the Rings: The Fellowship of the Ring, The|2001|PG-13|178|AVY|74
3501632|Thor: Ragnarok|2017|PG-13|130|AVCYS|75
1228705|Iron Man 2|2010|PG-13|124|AVS|76
0121765|Star Wars: Episode II - Attack of the Clones|2002|PG|143|AVS|77
0449088|Pirates of the Caribbean: At World's End|2007|PG-13|168|AVCY|78
0086190|Star Wars: Episode VI - Return of the Jedi|1983|PG|134|AVYS|79
0116629|Independence Day|1996|PG-13|145|AS|80
0325980|Pirates of the Caribbean: The Curse of the Black Pearl|2003|PG-13|143|AVCY|81
1074638|Skyfall|2012|PG-13|143|A|82
0903624|The Hobbit: An Unexpected Journey|2012|PG-13|169|V|83
0417741|Harry Potter and the Half-Blood Prince|2009|PG|153|AVFYMR|84
1325004|The Twilight Saga: Eclipse|2010|PG-13|124|DYR|85
1259571|The Twilight Saga: New Moon|2009|PG-13|130|DYR|86
0926084|Harry Potter and the Deathly Hallows: Part 1|2010|PG-13|146|VDYM|87
0167404|Sixth Sense, The|1999|PG-13|107|DMT|88
1049413|Up|2009|PG|96|AVNCF|89
1375666|Inception|2010|PG-13|148|AMST|90
1673434|The Twilight Saga: Breaking Dawn - Part 2|2012|PG-13|115|V|91
0373889|Harry Potter and the Order of the Phoenix|2007|PG-13|138|ADFY|92
0363771|The Chronicles of Narnia: The Lion, the Witch and the Wardrobe|2005|PG|140|AVDFY|93
0770828|Man of Steel|2013|PG-13|143|A|94
0080684|Star Wars: Episode V - The Empire Strikes Back|1980|PG|124|AVYS|95
